frame_id,timestamp_ns,load_ms,undistort_ms,detect_ms,describe_ms,stereo_ms,stereo_retrack_ms,track_ms,preint_ms,optimize_ms,total_ms,n_features,n_stereo,n_stereo_retracked,n_tracked,n_landmarks_init,n_landmarks
0,1403715273262142976,0.000,1.911,3.546,0.000,0.246,0.000,0.000,0.000,0.000,6.076,0,0,0,0,0,0
1,1403715273312143104,0.000,0.240,0.000,0.000,0.000,0.000,2.255,0.000,0.000,2.529,0,0,0,225,0,0
2,1403715273362142976,0.000,0.237,0.000,0.000,0.000,0.000,0.595,0.000,0.000,0.908,0,0,0,225,0,0
3,1403715273412143104,0.000,0.315,0.000,0.000,0.000,0.000,0.441,0.000,0.000,0.782,0,0,0,225,0,0
4,1403715273462142976,0.000,0.283,0.000,0.000,0.000,0.000,0.478,0.000,0.000,0.784,0,0,0,225,0,0
5,1403715273512143104,0.000,0.246,0.000,0.000,0.000,0.000,0.389,0.000,0.000,0.654,0,0,0,225,0,0
6,1403715273562142976,0.000,0.273,0.000,0.000,0.000,0.000,0.344,0.000,0.000,0.640,0,0,0,225,0,0
7,1403715273612143104,0.000,0.239,0.000,0.000,0.000,0.000,0.313,0.000,0.000,0.571,0,0,0,225,0,0
8,1403715273662142976,0.000,0.216,0.000,0.000,0.000,0.000,0.310,0.000,0.000,0.543,0,0,0,225,0,0
9,1403715273712143104,0.000,0.239,0.000,0.000,0.000,0.000,0.292,0.000,0.000,0.550,0,0,0,225,0,0
10,1403715273762142976,0.000,0.308,1.201,0.338,0.009,0.000,0.429,0.000,7.019,10.585,16,4,97,225,133,133
11,1403715273812143104,0.000,0.259,0.000,0.000,0.000,0.000,0.309,0.000,0.000,0.627,0,0,0,241,0,0
12,1403715273862142976,0.000,0.386,0.000,0.000,0.000,0.000,0.729,0.000,0.000,1.261,0,0,0,241,0,0
13,1403715273912143104,0.000,0.316,0.000,0.000,0.000,0.000,0.416,0.000,0.000,0.804,0,0,0,241,0,0
14,1403715273962142976,0.000,0.267,0.000,0.000,0.000,0.000,0.312,0.000,0.000,0.646,0,0,0,241,0,0
15,1403715274012143104,0.000,0.252,0.000,0.000,0.000,0.000,0.310,0.000,0.000,0.610,0,0,0,241,0,0
16,1403715274062142976,0.000,0.268,0.000,0.000,0.000,0.000,0.379,0.000,0.000,0.721,0,0,0,241,0,0
17,1403715274112143104,0.000,0.305,0.000,0.000,0.000,0.000,0.450,0.000,0.000,0.856,0,0,0,241,0,0
18,1403715274162142976,0.000,0.234,0.000,0.000,0.000,0.000,0.378,0.000,0.000,0.694,0,0,0,241,0,0
19,1403715274212143104,0.000,0.243,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.660,0,0,0,241,0,0
20,1403715274262142976,0.000,0.260,1.084,0.406,0.006,0.000,0.312,0.000,36.589,39.854,12,4,110,241,150,150
21,1403715274312143104,0.000,0.352,0.000,0.000,0.000,0.000,0.510,0.000,0.000,0.986,0,0,0,253,0,0
22,1403715274362142976,0.000,0.250,0.000,0.000,0.000,0.000,0.355,0.000,0.000,0.676,0,0,0,253,0,0
23,1403715274412143104,0.000,0.386,0.000,0.000,0.000,0.000,0.424,0.000,0.000,0.887,0,0,0,253,0,0
24,1403715274462142976,0.000,0.248,0.000,0.000,0.000,0.000,0.314,0.000,0.000,0.623,0,0,0,253,0,0
25,1403715274512143104,0.000,0.222,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.595,0,0,0,253,0,0
26,1403715274562142976,0.000,0.242,0.000,0.000,0.000,0.000,0.317,0.000,0.000,0.609,0,0,0,253,0,0
27,1403715274612143104,0.000,0.239,0.000,0.000,0.000,0.000,0.305,0.000,0.000,0.611,0,0,0,253,0,0
28,1403715274662142976,0.000,0.233,0.000,0.000,0.000,0.000,0.343,0.000,0.000,0.628,0,0,0,253,0,0
29,1403715274712143104,0.000,0.239,0.000,0.000,0.000,0.000,0.303,0.000,0.000,0.586,0,0,0,253,0,0
30,1403715274762142976,0.000,0.256,0.911,0.351,0.003,0.000,0.304,0.000,5.468,8.424,5,0,116,253,155,155
31,1403715274812143104,0.000,0.251,0.000,0.000,0.000,0.000,0.331,0.000,0.000,0.654,0,0,0,258,0,0
32,1403715274862142976,0.000,0.271,0.000,0.000,0.000,0.000,0.394,0.000,0.000,0.728,0,0,0,258,0,0
33,1403715274912143104,0.000,0.333,0.000,0.000,0.000,0.000,0.446,0.000,0.000,0.976,0,0,0,258,0,0
34,1403715274962142976,0.000,0.278,0.000,0.000,0.000,0.000,0.444,0.000,0.000,0.963,0,0,0,258,0,0
35,1403715275012143104,0.000,0.295,0.000,0.000,0.000,0.000,0.357,0.000,0.000,0.736,0,0,0,258,0,0
36,1403715275062142976,0.000,0.238,0.000,0.000,0.000,0.000,0.310,0.000,0.000,0.616,0,0,0,258,0,0
37,1403715275112143104,0.000,0.336,0.000,0.000,0.000,0.000,0.374,0.000,0.000,0.785,0,0,0,258,0,0
38,1403715275162142976,0.000,0.236,0.000,0.000,0.000,0.000,0.290,0.000,0.000,0.578,0,0,0,258,0,0
39,1403715275212143104,0.000,0.255,0.000,0.000,0.000,0.000,0.334,0.000,0.000,0.633,0,0,0,258,0,0
40,1403715275262142976,0.000,0.233,0.918,0.355,0.003,0.000,0.308,0.000,36.000,39.073,3,0,106,258,156,156
41,1403715275312143104,0.000,0.401,0.000,0.000,0.000,0.000,0.431,0.000,0.000,0.950,0,0,0,261,0,0
42,1403715275362142976,0.000,0.397,0.000,0.000,0.000,0.000,0.467,0.000,0.000,1.199,0,0,0,261,0,0
43,1403715275412143104,0.000,0.363,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.963,0,0,0,261,0,0
44,1403715275462142976,0.000,0.333,0.000,0.000,0.000,0.000,0.508,0.000,0.000,0.957,0,0,0,261,0,0
45,1403715275512143104,0.000,0.301,0.000,0.000,0.000,0.000,0.349,0.000,0.000,0.753,0,0,0,261,0,0
46,1403715275562142976,0.000,0.336,0.000,0.000,0.000,0.000,0.445,0.000,0.000,1.013,0,0,0,261,0,0
47,1403715275612143104,0.000,0.256,0.000,0.000,0.000,0.000,0.368,0.000,0.000,0.722,0,0,0,261,0,0
48,1403715275662142976,0.000,0.226,0.000,0.000,0.000,0.000,0.299,0.000,0.000,0.599,0,0,0,261,0,0
